"Host","Synonym"
"scotophilus kuhlii","scotophilus castaneus solutatus"
"scotophilus kuhlii","scotophilus castaneus consobrinus"
"scotophilus leucogaster","scotophilus leucogaster"
"scotophilus nigrita","scotophilus nigrita"
"scotophilus nigrita","vespertilio nigrita"
"scotophilus nux","scotophilus nux"
"scotophilus nux","scotophilus nigrita nux"
"sekeetamys calurus","sekeetamys calurus"
"sekeetamys calurus","sekeetamys makrami"
"semnopithecus entellus","semnopithecus entellus"
"semnopithecus schistaceus","semnopithecus schistaceus"
"semnopithecus schistaceus","presbytis lania"
"semnopithecus schistaceus","semnopithecus nipalensis"
"semnopithecus schistaceus","pithecus entellus achilles"
"setonix brachyurus","setonix brachyurus"
"sigmodon alstoni","sigmodon alstoni"
"sigmodon hispidus","sigmodon hispidus"
"sigmodon hispidus","sigmodon berlandieri"
"sigmodon hispidus","arvicola texiana"
"sigmodon hispidus","sigmodon hispidus alfredi"
"sigmodon hispidus","sigmodon hispidus confinis"
"sigmodon hispidus","sigmodon hispidus eremicus"
"sigmodon hispidus","sigmodon hispidus exsputus"
"sigmodon hispidus","sigmodon hispidus floridanus"
"sigmodon hispidus","sigmodon hispidus insulicola"
"sigmodon hispidus","sigmodon hispidus komareki"
"sigmodon hispidus","sigmodon hispidus littoralis"
"sigmodon hispidus","sigmodon hispidus pallidus"
"sigmodon hispidus","sigmodon hispidus solus"
"sigmodon hispidus","sigmodon hispidus spadicipygus"
"sigmodon hispidus","sigmodon hispidus virginianus"
"sigmodon mascotensis","sigmodon mascotensis"
"sigmodon mascotensis","sigmodon hispidus atratus"
"sigmodon mascotensis","sigmodon hispidus inexoratus"
"sigmodon mascotensis","sigmodon hispidus ischyrus"
"sigmodon mascotensis","sigmodon hispidus obvelatus"
"sigmodon mascotensis","sigmodon hispidus tonalensis"
"sigmodon toltecus","sigmodon toltecus"
"sigmodon toltecus","sigmodon hispidus furvus"
"sigmodon toltecus","sigmodon hispidus microdon"
"sigmodon toltecus","sigmodon hispidus saturatus"
"sooretamys angouya","sooretamys angouya"
"sooretamys angouya","oryzomys buccinatus"
"sooretamys angouya","oryzomys ratticeps"
"sooretamys angouya","oryzomys angouya"
"sorex araneus","sorex araneus"
"sorex arcticus","sorex arcticus"
"sorex bairdi","sorex bairdi"
"sorex bairdi","sorex bairdii"
"sorex caecutiens","sorex caecutiens"
"sorex cinereus","sorex cinereus"
"sorex cinereus","sorex cinereus nigriculus"
"sorex coronatus","sorex coronatus"
"sorex cylindricauda","sorex cylindricauda"
"sorex daphaenodon","sorex daphaenodon"
"sorex fumeus","sorex fumeus"
"sorex haydeni","sorex haydeni"
"sorex hoyi","sorex hoyi"
"sorex hoyi","microsorex hoyi"
"sorex isodon","sorex isodon"
"sorex minutissimus","sorex minutissimus"
"sorex minutus","sorex minutus"
"sorex mirabilis","sorex mirabilis"
"sorex monticolus","sorex monticolus"
"sorex palustris","sorex palustris"
"sorex roboratus","sorex roboratus"
"sorex trowbridgii","sorex trowbridgii"
"sorex tundrensis","sorex tundrensis"
"sorex unguiculatus","sorex unguiculatus"
"sorex vagrans","sorex vagrans"
"sotalia guianensis","sotalia guianensis"
"sotalia guianensis","sotalia fluviatilis guianensis"
"sotalia guianensis","delphinus guianensis"
"sotalia guianensis","sotalia brasiliensis"
"sousa chinensis","sousa chinensis"
"sousa chinensis","sousa borneensis"
"sousa chinensis","sousa huangi"
"sousa chinensis","delphinus chinensis"
"sousa chinensis","delphinus sinensis"
"sousa chinensis","steno chinensis"
"sousa chinensis","sotalia borneensis"
"speothos venaticus","speothos venaticus"
"speothos venaticus","cynogale venatica"
"spermophilus citellus","spermophilus citellus"
"spermophilus dauricus","spermophilus dauricus"
"spermophilus erythrogenys","spermophilus erythrogenys"
"spermophilus erythrogenys","spermophilus heptneri"
"spermophilus fulvus","spermophilus fulvus"
"spilogale gracilis","spilogale gracilis"
"spilogale putorius","spilogale putorius"
"steatomys pratensis","steatomys pratensis"
"steatomys pratensis","steatomys edulis"
"steatomys pratensis","steatomys natalensis"
"steatomys pratensis","steatomys pratensis maunensis"
"stenella coeruleoalba","stenella coeruleoalba"
"stenella coeruleoalba","stenella asthenops"
"stenella coeruleoalba","stenella crotaphiscus"
"stenella coeruleoalba","stenella euphrosyne"
"stenella coeruleoalba","stenella styx"
"stenella coeruleoalba","delphinus tethyos"
"stenella coeruleoalba","delphinus coeruleoalbus"
"stenella coeruleoalba","delphinus styx"
"stenella coeruleoalba","delphinus euphrosyne"
"stenella coeruleoalba","delphinus asthenops"
"stenella coeruleoalba","delphinus crotaphiscus"
"stenella frontalis","stenella frontalis"
"stenella frontalis","stenella plagiodon"
"stenella frontalis","stenella fontalis"
"stenella frontalis","delphinus doris"
"stenella frontalis","delphinus froenatus"
"stenella frontalis","delphinus pernettensis"
"stenella frontalis","stenella pernettyi"
"stenella frontalis","clymenia frontalis"
"stenella frontalis","delphinus frontalis"
"stenella frontalis","prodelphinus frontalis"
"stenella frontalis","stenella fontolis"
"stenella frontalis","delphinus fraenatus"
"stenella frontalis","prodelphinus froenatus"
"stenella frontalis","delphinus plagiodon"
"stenella longirostris","stenella longirostris"
"stenella longirostris","delphinus longirostris"
"steno bredanensis","steno bredanensis"
"steno bredanensis","delphinus compressus"
"steno bredanensis","steno perspicillatus"
"steno bredanensis","delphinus rostratus"
"steno bredanensis","delphinus bredanensis"
"steno bredanensis","delphinus perspicillatus"
"stenocephalemys albipes","stenocephalemys albipes"
"stenocephalemys albipes","myomys albipes"
"sturnira erythromos","sturnira erythromos"
"sturnira erythromos","phyllostoma erythromos"
"sturnira lilium","sturnira lilium"
"sturnira lilium","phyllostoma lilium"
"sturnira lilium","sturnira lilium lilium"
"sturnira ludovici","sturnira ludovici"
"sturnira ludovici","sturnira ludovici ludovici"
"sturnira ludovici","sturnira ludovici occidentalis"
"sturnira parvidens","sturnira parvidens"
"sturnira parvidens","sturnira lilium parvidens"
"sturnira tildae","sturnira tildae"
"suncus murinus","suncus murinus"
"sundamys infraluteus","sundamys infraluteus"
"sundamys infraluteus","rattus atchinus"
"sundamys muelleri","sundamys muelleri"
"sundamys muelleri","rattus balmasus"
"sundamys muelleri","epimys borneanus"
"sundamys muelleri","mus chombolis"
"sundamys muelleri","epimys crassus"
"sundamys muelleri","rattus culionensis"
"sundamys muelleri","mus domitor"
"sundamys muelleri","mus firmus"
"sundamys muelleri","mus integer"
"sundamys muelleri","rattus pinatus"
"sundamys muelleri","epimys pollens"
"sundamys muelleri","epimys potens"
"sundamys muelleri","epimys sebucus"
"sundamys muelleri","epimys valens"
"sundamys muelleri","mus validus"
"sundamys muelleri","rattus victor"
"sundamys muelleri","rattus virtus"
"sundamys muelleri","rattus muelleri balabagensis"
"sundamys muelleri","epimys muelleri campus"
"sundamys muelleri","rattus muelleri credulus"
"sundamys muelleri","mus muelleri foederis"
"sundamys muelleri","rattus muelleri otiosus"
"sundamys muelleri","rattus validus terempa"
"sundamys muelleri","rattus muelleri waringensis"
"sundasciurus hippurus","sundasciurus hippurus"
"sundasciurus lowii","sundasciurus lowii"
"suricata suricatta","suricata suricatta"
"sus barbatus","sus barbatus"
"sus celebensis","sus celebensis"
"sus scrofa","sus scrofa"
"sus scrofa","sus domesticus"
"sus verrucosus","sus verrucosus"
"sus verrucosus","sus verrucosus"
"syconycteris australis","syconycteris australis"
"sylvicapra grimmia","sylvicapra grimmia"
"sylvilagus aquaticus","sylvilagus aquaticus"
"sylvilagus aquaticus","lepus aquaticus"
"sylvilagus audubonii","sylvilagus audubonii"
"sylvilagus bachmani","sylvilagus bachmani"
"sylvilagus brasiliensis","sylvilagus brasiliensis"
"sylvilagus brasiliensis","sylvilagus brasiliensis brasiliensis"
"sylvilagus brasiliensis","sylvilagus brasiliensis caracasensis"
"sylvilagus brasiliensis","sylvilagus brasiliensis defilippi"
"sylvilagus brasiliensis","sylvilagus brasiliensis gibsoni"
"sylvilagus brasiliensis","sylvilagus brasiliensis inca"
"sylvilagus brasiliensis","sylvilagus brasiliensis minensis"
"sylvilagus brasiliensis","sylvilagus brasiliensis paraguensis"
"sylvilagus brasiliensis","sylvilagus brasiliensis peruanus"
"sylvilagus brasiliensis","lepus brasiliensis"
"sylvilagus brasiliensis","lepus defilippi"
"sylvilagus floridanus","sylvilagus floridanus"
"sylvilagus floridanus","sylvilagus floridanus floridanus"
"sylvilagus floridanus","sylvilagus floridanus alacer"
"sylvilagus floridanus","sylvilagus floridanus chapmani"
"sylvilagus floridanus","sylvilagus floridanus holzneri"
"sylvilagus floridanus","sylvilagus floridanus mallurus"
"sylvilagus floridanus","sylvilagus floridanus aztecus"
"sylvilagus floridanus","sylvilagus floridanus connectens"
"sylvilagus floridanus","sylvilagus floridanus hondurensis"
"sylvilagus floridanus","sylvilagus floridanus macrocorpus"
"sylvilagus floridanus","sylvilagus floridanus orizabae"
"sylvilagus floridanus","sylvilagus floridanus yucatanicus"
"sylvilagus floridanus","sylvilagus floridanus avius"
"sylvilagus floridanus","sylvilagus floridanus cumanicus"
"sylvilagus floridanus","sylvilagus floridanus margaritae"
"sylvilagus floridanus","sylvilagus floridanus nigronuchalis"
"sylvilagus floridanus","sylvilagus floridanus orinoci"
"sylvilagus floridanus","sylvilagus floridanus purgatus"
"sylvilagus floridanus","sylvilagus floridanus superciliaris"
"sylvilagus floridanus","lepus orizabae"
"sylvilagus floridanus","lepus russatus"
"sylvilagus floridanus","lepus sylvaticus alacer"
"sylvilagus floridanus","lepus sylvaticus aztecus"
"sylvilagus floridanus","lepus floridanus chapmani"
"sylvilagus floridanus","lepus floridanus connectens"
"sylvilagus floridanus","lepus sylvaticus floridanus"
"sylvilagus floridanus","lepus sylvaticus holzneri"
"sylvilagus floridanus","lepus nuttalli mallurus"
"sylvilagus floridanus","sylvilagus floridanus russatus"
"sylvilagus floridanus","sylvilagus floridanus subcinctus"
"sylvilagus floridanus","lepus floridanus subcinctus"
"sylvilagus floridanus","lepus floridanus yucatanicus"
"sylvilagus nuttallii","sylvilagus nuttallii"
"sylvilagus palustris","sylvilagus palustris"
"sylvisorex ollula","sylvisorex ollula"
"symphalangus syndactylus","symphalangus syndactylus"
"symphalangus syndactylus","hylobates syndactylus"
"symphalangus syndactylus","simia gibbon"
"symphalangus syndactylus","simia syndactyla"
"symphalangus syndactylus","symphalangus syndactylus continentis"
"symphalangus syndactylus","symphalangus syndactylus volzi"
"syncerus caffer","syncerus caffer"
"tachyglossus aculeatus","tachyglossus aculeatus"
"tadarida brasiliensis","tadarida brasiliensis"
"tadarida teniotis","tadarida teniotis"
"tadarida teniotis","cephalotes teniotis"
"tadarida teniotis","dysopes rüpelii"
"tadarida teniotis","tadarida teniotis teniotis"
"tadarida teniotis","tadarida teniotis rueppelli"
"tadarida teniotis","tadarida teniotis rueppellii"
"talpa altaica","talpa altaica"
"talpa europaea","talpa europaea"
"talpa occidentalis","talpa occidentalis"
"talpa romana","talpa romana"
"tamandua tetradactyla","tamandua tetradactyla"
"tamandua tetradactyla","myrmecophaga tamandua"
"tamandua tetradactyla","myrmecophaga longicaudata"
"tamandua tetradactyla","tamandua longicaudata nigra"
"tamandua tetradactyla","tamandua bivittata opisthomelas"
"tamias amoenus","tamias amoenus"
"tamias minimus","tamias minimus"
"tamias minimus","eutamias minimus"
"tamias quadrivittatus","tamias quadrivittatus"
"tamias sibiricus","tamias sibiricus"
"tamias striatus","tamias striatus"
"tamias umbrinus","tamias umbrinus"
"tamiasciurus hudsonicus","tamiasciurus hudsonicus"
"tamiops swinhoei","tamiops swinhoei"
"taphozous longimanus","taphozous longimanus"
"taphozous mauritianus","taphozous mauritianus"
"taphozous melanopogon","taphozous melanopogon"
"taphozous melanopogon","taphozous philippinensis"
"taphozous melanopogon","taphozous melanopogon phillipinensis"
"taphozous melanopogon","taphozous melanopogon philippinensis"
"taphozous perforatus","taphozous perforatus"
"taphozous theobaldi","taphozous theobaldi"
"tapirus bairdii","lookup fail"
"tapirus indicus","lookup fail"
"tapirus terrestris","tapirus terrestris"
"tapirus terrestris","hippopotamus terrestris"
"tatera indica","tatera indica"
"tatera indica","tatera bailwardi"
"tatera indica","tatera ceylonica"
"tatera indica","gerbillus cuvieri"
"tatera indica","tatera dunni"
"tatera indica","gerbillus hardwickei"
"tatera indica","gerbillus otarius"
"tatera indica","tatera persica"
"tatera indica","tatera pitmani"
"tatera indica","tatera sherrini"
"tatera indica","meriones taeniurus"
"tatera indica","tatera bailwardi monticola"
"tatera indica","tatera persica scansa"
"taxidea taxus","taxidea taxus"
"taxidea taxus","ursus taxus"
"tayassu pecari","tayassu pecari"
"terricola subterraneus","lookup fail"
"tetracerus quadricornis","tetracerus quadricornis"
"thallomys nigricauda","thallomys nigricauda"
"thallomys nigricauda","mus damarensis"
"thallomys nigricauda","thallomys davisi"
"thallomys nigricauda","thallomys herero"
"thallomys nigricauda","thallomys leuconoe"
"thallomys nigricauda","thallomys leuconoe bradfieldi"
"thallomys nigricauda","epimys nigricauda kalaharicus"
"thallomys nigricauda","thallomys leuconoe molopensis"
"thallomys nigricauda","rattus paedulcus robertsi"
"thaptomys nigrita","thaptomys nigrita"
"thaptomys nigrita","akodon nigrita"
"theropithecus gelada","theropithecus gelada"
"thomomys talpoides","thomomys talpoides"
"thoopterus nigrescens","thoopterus nigrescens"
"thoopterus nigrescens","cynopterus marginatus nigrescens"
"thryonomys gregorianus","thryonomys gregorianus"
"thryonomys swinderianus","thryonomys swinderianus"
"thylogale billardierii","thylogale billardierii"
"thylogale thetis","thylogale thetis"
"tolypeutes matacus","tolypeutes matacus"
"tonatia bidens","tonatia bidens"
"tonatia bidens","vampyrus bidens"
"trachops cirrhosus","trachops cirrhosus"
"trachypithecus cristatus","trachypithecus cristatus"
"trachypithecus francoisi","trachypithecus francoisi"
"trachypithecus germaini","trachypithecus germaini"
"trachypithecus germaini","presbytis margarita"
"trachypithecus germaini","trachypithecus germaini germaini"
"trachypithecus germaini","presbytis cristatus koratensis"
"trachypithecus germaini","presbytis germaini mandibularis"
"trachypithecus obscurus","trachypithecus obscurus"
"trachypithecus phayrei","trachypithecus phayrei"
"trachypithecus phayrei","presbytis barbei"
"trachypithecus phayrei","semnopithecus holotephreus"
"trachypithecus phayrei","trachypithecus phayrei phayrei"
"trachypithecus pileatus","trachypithecus pileatus"
"tragelaphus angasii","tragelaphus angasii"
"tragelaphus eurycerus","tragelaphus eurycerus"
"tragelaphus imberbis","tragelaphus imberbis"
"tragelaphus oryx","lookup fail"
"tragelaphus scriptus","tragelaphus scriptus"
"tragelaphus spekii","tragelaphus spekii"
"tragelaphus strepsiceros","tragelaphus strepsiceros"
"tragulus javanicus","tragulus javanicus"
"tragulus javanicus","tragulus javanicus"
"transandinomys bolivaris","transandinomys bolivaris"
"transandinomys bolivaris","oryzomys bolivaris"
"transandinomys bolivaris","oryzomys bombycinus"
"transandinomys bolivaris","oryzomys nitidus alleni"
"transandinomys bolivaris","oryzomys bombycinus orinus"
"tremarctos ornatus","tremarctos ornatus"
"triaenops afer","triaenops afer"
"triaenops afer","triaenops persicus afer"
"triaenops afer","triaenops persicus majusculus"
"triaenops menamena","triaenops menamena"
"triaenops persicus","triaenops persicus"
"triaenops persicus","triaenops rufus"
"triaenops persicus","triaenops persicus persicus"
"trichechus manatus","trichechus manatus"
"trichechus manatus","trichecus manatus"
"trichosurus vulpecula","trichosurus vulpecula"
"trinomys iheringi","trinomys iheringi"
"trinomys iheringi","proechimys iheringi"
"tscherskia triton","tscherskia triton"
"tscherskia triton","tscherskia albipes"
"tscherskia triton","cricetulus arenosus"
"tscherskia triton","asiocricetus bampensis"
"tscherskia triton","cricetulus nestor"
"tscherskia triton","asiocricetus yamashinai"
"tscherskia triton","cricetulus triton collinus"
"tscherskia triton","cricetulus triton fuscipes"
"tscherskia triton","cricetulus triton incanus"
"tscherskia triton","cricetulus triton meihsienensis"
"tscherskia triton","cricetulus triton ningshaanensis"
"tupaia belangeri","tupaia belangeri"
"tupaia chinensis","lookup fail"
"tupaia glis","tupaia glis"
"tupaia tana","tupaia tana"
"tursiops aduncus","tursiops aduncus"
"tursiops aduncus","delphinus aduncus"
"tursiops truncatus","tursiops truncatus"
"tursiops truncatus","tursiops gillii"
"tursiops truncatus","tursiops nuuanu"
"tursiops truncatus","delphinus truncatus"
"tursiops truncatus","tursiops nesarnack"
"tursiops truncatus","tursiops truncatus gillii"
"tylomys nudicaudus","tylomys nudicaudus"
"tylomys nudicaudus","tylomys gymnurus"
"tylomys nudicaudus","tylomys nudicaudus microdon"
"tylomys nudicaudus","tylomys nudicaudus villai"
"tylonycteris pachypus","tylonycteris pachypus"
"tylonycteris robustula","tylonycteris robustula"
"tylonycteris robustula","tylonycteris robustula robustula"
"undetermined sciuridae 'chipmunks'","lookup fail"
"uranomys ruddi","uranomys ruddi"
"uranomys ruddi","uranomys acomyoides"
